Size_window=800;500
Size_tiles=40;25
(0, 0);['O', 0]
(1, 0);['O', 0]
(2, 0);['O', 0]
(3, 0);['O', 0]
(4, 0);['O', 0]
(5, 0);['O', 0]
(7, 0);['O', 0]
(6, 0);['O', 0]
(8, 0);['O', 0]
(10, 0);['S', 0]
(11, 0);['O', 0]
(9, 0);['S', 0]
(12, 0);['O', 0]
(13, 0);['O', 0]
(14, 0);['O', 0]
(15, 0);['O', 0]
(17, 0);['O', 0]
(18, 0);['O', 0]
(16, 0);['O', 0]
(19, 0);['O', 0]
(20, 0);['O', 0]
(21, 0);['O', 0]
(22, 0);['O', 0]
(23, 0);['O', 0]
(24, 0);['O', 0]
(24, 1);['O', 0]
(24, 2);['O', 0]
(24, 3);['O', 0]
(24, 4);['O', 0]
(24, 5);['O', 0]
(24, 6);['O', 0]
(24, 7);['O', 0]
(24, 8);['O', 0]
(24, 9);['O', 0]
(24, 10);['O', 0]
(24, 11);['O', 0]
(24, 12);['O', 0]
(24, 13);['O', 0]
(24, 14);['O', 0]
(24, 15);['O', 0]
(24, 16);['O', 0]
(24, 18);['O', 0]
(24, 17);['O', 0]
(24, 20);['O', 0]
(24, 19);['O', 0]
(24, 21);['O', 0]
(24, 23);['O', 0]
(24, 22);['O', 0]
(24, 25);['O', 0]
(24, 24);['O', 0]
(24, 26);['O', 0]
(24, 27);['O', 0]
(24, 28);['O', 0]
(24, 29);['O', 0]
(24, 30);['O', 0]
(24, 31);['O', 0]
(24, 32);['O', 0]
(24, 33);['O', 0]
(24, 34);['O', 0]
(24, 35);['O', 0]
(24, 36);['O', 0]
(24, 37);['O', 0]
(24, 38);['O', 0]
(24, 39);['O', 0]
(23, 39);['O', 0]
(22, 39);['O', 0]
(21, 39);['O', 0]
(20, 39);['O', 0]
(19, 39);['O', 0]
(18, 39);['O', 0]
(17, 39);['O', 0]
(16, 39);['O', 0]
(15, 39);['O', 0]
(14, 39);['O', 0]
(13, 39);['O', 0]
(12, 39);['O', 0]
(11, 39);['O', 0]
(10, 39);['O', 0]
(9, 39);['O', 0]
(8, 39);['O', 0]
(7, 39);['O', 0]
(5, 39);['O', 0]
(6, 39);['O', 0]
(3, 39);['O', 0]
(4, 39);['O', 0]
(2, 39);['O', 0]
(1, 39);['O', 0]
(0, 39);['O', 0]
(0, 38);['O', 0]
(0, 37);['O', 0]
(0, 36);['O', 0]
(0, 35);['O', 0]
(0, 34);['O', 0]
(0, 32);['O', 0]
(0, 33);['O', 0]
(0, 31);['O', 0]
(0, 29);['O', 0]
(0, 30);['O', 0]
(0, 28);['O', 0]
(0, 27);['O', 0]
(0, 26);['O', 0]
(0, 25);['O', 0]
(0, 24);['O', 0]
(0, 23);['O', 0]
(0, 21);['O', 0]
(0, 22);['O', 0]
(0, 20);['O', 0]
(0, 19);['O', 0]
(0, 18);['O', 0]
(0, 17);['O', 0]
(0, 16);['O', 0]
(0, 15);['O', 0]
(0, 14);['O', 0]
(0, 13);['O', 0]
(0, 12);['O', 0]
(0, 11);['O', 0]
(0, 10);['O', 0]
(0, 9);['O', 0]
(0, 8);['O', 0]
(0, 7);['O', 0]
(0, 6);['O', 0]
(0, 5);['O', 0]
(0, 3);['O', 0]
(0, 2);['O', 0]
(0, 1);['O', 0]
(0, 4);['O', 0]
(1, 1);['O', 0]
(2, 1);['O', 0]
(3, 1);['O', 0]
(4, 1);['O', 0]
(5, 1);['O', 0]
(6, 1);['O', 0]
(7, 1);['O', 0]
(8, 1);['O', 0]
(9, 1);['S', 0]
(10, 1);['S', 0]
(11, 1);['O', 0]
(12, 1);['O', 0]
(13, 1);['O', 0]
(14, 1);['O', 0]
(15, 1);['O', 0]
(16, 1);['O', 0]
(17, 1);['O', 0]
(18, 1);['O', 0]
(19, 1);['O', 0]
(20, 1);['O', 0]
(21, 1);['O', 0]
(22, 1);['O', 0]
(23, 1);['O', 0]
(23, 2);['O', 0]
(23, 3);['O', 0]
(23, 4);['O', 0]
(23, 5);['O', 0]
(23, 6);['O', 0]
(23, 8);['O', 0]
(23, 7);['O', 0]
(23, 9);['O', 0]
(23, 11);['O', 0]
(23, 10);['O', 0]
(23, 12);['O', 0]
(23, 13);['O', 0]
(23, 14);['O', 0]
(23, 15);['O', 0]
(23, 16);['O', 0]
(23, 17);['O', 0]
(23, 18);['O', 0]
(23, 19);['O', 0]
(23, 20);['O', 0]
(23, 21);['O', 0]
(23, 22);['O', 0]
(23, 23);['O', 0]
(23, 24);['O', 0]
(23, 25);['O', 0]
(23, 26);['O', 0]
(23, 27);['O', 0]
(23, 28);['O', 0]
(23, 29);['O', 0]
(23, 30);['O', 0]
(23, 31);['O', 0]
(23, 32);['O', 0]
(23, 33);['O', 0]
(23, 34);['O', 0]
(23, 35);['O', 0]
(23, 36);['O', 0]
(23, 37);['O', 0]
(23, 38);['O', 0]
(21, 38);['O', 0]
(22, 38);['O', 0]
(20, 38);['O', 0]
(19, 38);['O', 0]
(18, 38);['O', 0]
(17, 38);['O', 0]
(16, 38);['O', 0]
(15, 38);['O', 0]
(14, 38);['O', 0]
(13, 38);['O', 0]
(12, 38);['O', 0]
(11, 38);['O', 0]
(10, 38);['O', 0]
(9, 38);['O', 0]
(8, 38);['O', 0]
(7, 38);['O', 0]
(6, 38);['O', 0]
(5, 38);['O', 0]
(4, 38);['O', 0]
(3, 38);['O', 0]
(2, 38);['O', 0]
(1, 38);['O', 0]
(1, 37);['O', 0]
(1, 35);['O', 0]
(1, 36);['O', 0]
(1, 34);['O', 0]
(1, 33);['O', 0]
(1, 31);['S', 0]
(1, 32);['O', 0]
(1, 29);['O', 0]
(1, 28);['O', 0]
(1, 30);['S', 0]
(1, 27);['O', 0]
(1, 26);['O', 0]
(1, 25);['O', 0]
(1, 24);['O', 0]
(1, 23);['O', 0]
(1, 22);['O', 0]
(1, 21);['O', 0]
(1, 20);['O', 0]
(1, 19);['O', 0]
(1, 18);['O', 0]
(1, 17);['O', 0]
(1, 16);['O', 0]
(1, 15);['O', 0]
(1, 14);['O', 0]
(1, 12);['O', 0]
(1, 13);['O', 0]
(1, 11);['O', 0]
(1, 10);['O', 0]
(1, 9);['O', 0]
(1, 8);['O', 0]
(1, 7);['O', 0]
(1, 6);['O', 0]
(1, 5);['O', 0]
(1, 4);['O', 0]
(1, 3);['O', 0]
(1, 2);['O', 0]
(11, 3);['O', 0]
(11, 4);['O', 0]
(11, 2);['O', 0]
(12, 2);['O', 0]
(12, 3);['O', 0]
(12, 4);['O', 0]
(13, 4);['O', 0]
(13, 2);['O', 0]
(13, 3);['O', 0]
(14, 2);['O', 0]
(14, 3);['O', 0]
(14, 4);['O', 0]
(9, 6);['O', 0]
(8, 6);['O', 0]
(8, 5);['O', 0]
(7, 5);['O', 0]
(7, 6);['O', 0]
(6, 6);['O', 0]
(6, 5);['O', 0]
(5, 5);['O', 0]
(5, 6);['O', 0]
(4, 6);['O', 0]
(4, 5);['O', 0]
(4, 4);['O', 0]
(10, 8);['O', 0]
(11, 8);['O', 0]
(12, 8);['O', 0]
(13, 8);['O', 0]
(14, 8);['O', 0]
(15, 8);['O', 0]
(15, 9);['O', 0]
(14, 9);['O', 0]
(13, 9);['O', 0]
(12, 9);['O', 0]
(11, 9);['O', 0]
(10, 9);['O', 0]
(15, 10);['O', 0]
(15, 11);['O', 0]
(15, 12);['O', 0]
(16, 12);['O', 0]
(18, 12);['O', 0]
(20, 12);['O', 0]
(21, 12);['O', 0]
(22, 12);['O', 0]
(19, 12);['O', 0]
(17, 12);['O', 0]
(2, 10);['O', 0]
(3, 10);['O', 0]
(4, 10);['O', 0]
(5, 10);['O', 0]
(5, 12);['O', 0]
