Size_window=800;500
Size_tiles=40;25
(7, 23);['F', 1]
(7, 24);['F', 1]
(7, 25);['F', 1]
(7, 26);['F', 1]
(8, 23);['F', 1]
(8, 24);['F', 1]
(8, 29);['F', 1]
(9, 23);['F', 1]
(9, 26);['F', 1]
(10, 23);['F', 1]
(10, 24);['F', 1]
(10, 25);['F', 1]
(10, 26);['F', 1]
(10, 27);['F', 1]
(10, 28);['F', 1]
(10, 29);['F', 1]
(11, 23);['F', 1]
(11, 24);['F', 1]
(11, 25);['F', 1]
(11, 27);['F', 1]
(11, 29);['F', 1]
(12, 24);['F', 1]
(13, 27);['F', 1]
(13, 28);['F', 1]
(12, 20);['F', 1]
(12, 22);['F', 1]
(13, 18);['F', 1]
(13, 20);['F', 1]
(14, 17);['F', 1]
(14, 19);['F', 1]
(14, 20);['F', 1]
(14, 21);['F', 1]
(14, 22);['F', 1]
(14, 23);['F', 1]
(15, 17);['F', 1]
(15, 18);['F', 1]
(15, 19);['F', 1]
(15, 20);['F', 1]
(15, 21);['F', 1]
(15, 22);['F', 1]
(15, 23);['F', 1]
(16, 17);['F', 1]
(16, 18);['F', 1]
(16, 19);['F', 1]
(16, 20);['F', 1]
(17, 17);['F', 1]
(17, 18);['F', 1]
(17, 19);['F', 1]
(17, 20);['F', 1]
(17, 21);['F', 1]
