Size_window=800;500
Size_tiles=40;25
(0.0, 0.0);['O', 0.0]
(1.0, 0.0);['O', 0.0]
(2.0, 0.0);['O', 0.0]
(3.0, 0.0);['O', 0.0]
(4.0, 0.0);['O', 0.0]
(5.0, 0.0);['O', 0.0]
(7.0, 0.0);['O', 0.0]
(6.0, 0.0);['O', 0.0]
(8.0, 0.0);['O', 0.0]
(10.0, 0.0);['S', 0.0]
(11.0, 0.0);['O', 0.0]
(9.0, 0.0);['S', 0.0]
(12.0, 0.0);['O', 0.0]
(13.0, 0.0);['O', 0.0]
(14.0, 0.0);['O', 0.0]
(15.0, 0.0);['O', 0.0]
(17.0, 0.0);['O', 0.0]
(18.0, 0.0);['O', 0.0]
(16.0, 0.0);['O', 0.0]
(19.0, 0.0);['O', 0.0]
(20.0, 0.0);['O', 0.0]
(21.0, 0.0);['O', 0.0]
(22.0, 0.0);['O', 0.0]
(23.0, 0.0);['O', 0.0]
(24.0, 0.0);['O', 0.0]
(24.0, 1.0);['O', 0.0]
(24.0, 2.0);['O', 0.0]
(24.0, 3.0);['O', 0.0]
(24.0, 4.0);['O', 0.0]
(24.0, 5.0);['O', 0.0]
(24.0, 6.0);['O', 0.0]
(24.0, 7.0);['O', 0.0]
(24.0, 8.0);['O', 0.0]
(24.0, 9.0);['O', 0.0]
(24.0, 10.0);['O', 0.0]
(24.0, 11.0);['O', 0.0]
(24.0, 12.0);['O', 0.0]
(24.0, 13.0);['O', 0.0]
(24.0, 14.0);['O', 0.0]
(24.0, 15.0);['O', 0.0]
(24.0, 16.0);['O', 0.0]
(24.0, 18.0);['O', 0.0]
(24.0, 17.0);['O', 0.0]
(24.0, 20.0);['O', 0.0]
(24.0, 19.0);['O', 0.0]
(24.0, 21.0);['O', 0.0]
(24.0, 23.0);['O', 0.0]
(24.0, 22.0);['O', 0.0]
(24.0, 25.0);['O', 0.0]
(24.0, 24.0);['O', 0.0]
(24.0, 26.0);['O', 0.0]
(24.0, 27.0);['O', 0.0]
(24.0, 28.0);['O', 0.0]
(24.0, 29.0);['O', 0.0]
(24.0, 30.0);['O', 0.0]
(24.0, 31.0);['O', 0.0]
(24.0, 32.0);['O', 0.0]
(24.0, 33.0);['O', 0.0]
(24.0, 34.0);['O', 0.0]
(24.0, 35.0);['O', 0.0]
(24.0, 36.0);['O', 0.0]
(24.0, 37.0);['O', 0.0]
(24.0, 38.0);['O', 0.0]
(24.0, 39.0);['O', 0.0]
(23.0, 39.0);['O', 0.0]
(22.0, 39.0);['O', 0.0]
(21.0, 39.0);['O', 0.0]
(20.0, 39.0);['O', 0.0]
(19.0, 39.0);['O', 0.0]
(18.0, 39.0);['O', 0.0]
(17.0, 39.0);['O', 0.0]
(16.0, 39.0);['O', 0.0]
(15.0, 39.0);['O', 0.0]
(14.0, 39.0);['O', 0.0]
(13.0, 39.0);['O', 0.0]
(12.0, 39.0);['O', 0.0]
(11.0, 39.0);['O', 0.0]
(10.0, 39.0);['O', 0.0]
(9.0, 39.0);['O', 0.0]
(8.0, 39.0);['O', 0.0]
(7.0, 39.0);['O', 0.0]
(5.0, 39.0);['O', 0.0]
(6.0, 39.0);['O', 0.0]
(3.0, 39.0);['O', 0.0]
(4.0, 39.0);['O', 0.0]
(2.0, 39.0);['O', 0.0]
(1.0, 39.0);['O', 0.0]
(0.0, 39.0);['O', 0.0]
(0.0, 38.0);['O', 0.0]
(0.0, 37.0);['O', 0.0]
(0.0, 36.0);['O', 0.0]
(0.0, 35.0);['O', 0.0]
(0.0, 34.0);['O', 0.0]
(0.0, 32.0);['O', 0.0]
(0.0, 33.0);['O', 0.0]
(0.0, 31.0);['O', 0.0]
(0.0, 29.0);['O', 0.0]
(0.0, 30.0);['O', 0.0]
(0.0, 28.0);['O', 0.0]
(0.0, 27.0);['O', 0.0]
(0.0, 26.0);['O', 0.0]
(0.0, 25.0);['O', 0.0]
(0.0, 24.0);['O', 0.0]
(0.0, 23.0);['O', 0.0]
(0.0, 21.0);['O', 0.0]
(0.0, 22.0);['O', 0.0]
(0.0, 20.0);['O', 0.0]
(0.0, 19.0);['O', 0.0]
(0.0, 18.0);['O', 0.0]
(0.0, 17.0);['O', 0.0]
(0.0, 16.0);['O', 0.0]
(0.0, 15.0);['O', 0.0]
(0.0, 14.0);['O', 0.0]
(0.0, 13.0);['O', 0.0]
(0.0, 12.0);['O', 0.0]
(0.0, 11.0);['O', 0.0]
(0.0, 10.0);['O', 0.0]
(0.0, 9.0);['O', 0.0]
(0.0, 8.0);['O', 0.0]
(0.0, 7.0);['O', 0.0]
(0.0, 6.0);['O', 0.0]
(0.0, 5.0);['O', 0.0]
(0.0, 3.0);['O', 0.0]
(0.0, 2.0);['O', 0.0]
(0.0, 1.0);['O', 0.0]
(0.0, 4.0);['O', 0.0]
(1.0, 1.0);['O', 0.0]
(2.0, 1.0);['O', 0.0]
(3.0, 1.0);['O', 0.0]
(4.0, 1.0);['O', 0.0]
(5.0, 1.0);['O', 0.0]
(6.0, 1.0);['O', 0.0]
(7.0, 1.0);['O', 0.0]
(8.0, 1.0);['O', 0.0]
(9.0, 1.0);['S', 0.0]
(10.0, 1.0);['S', 0.0]
(11.0, 1.0);['O', 0.0]
(12.0, 1.0);['O', 0.0]
(13.0, 1.0);['O', 0.0]
(14.0, 1.0);['O', 0.0]
(15.0, 1.0);['O', 0.0]
(16.0, 1.0);['O', 0.0]
(17.0, 1.0);['O', 0.0]
(18.0, 1.0);['O', 0.0]
(19.0, 1.0);['O', 0.0]
(20.0, 1.0);['O', 0.0]
(21.0, 1.0);['O', 0.0]
(22.0, 1.0);['O', 0.0]
(23.0, 1.0);['O', 0.0]
(23.0, 2.0);['O', 0.0]
(23.0, 3.0);['O', 0.0]
(23.0, 4.0);['O', 0.0]
(23.0, 5.0);['O', 0.0]
(23.0, 6.0);['O', 0.0]
(23.0, 8.0);['O', 0.0]
(23.0, 7.0);['O', 0.0]
(23.0, 9.0);['O', 0.0]
(23.0, 11.0);['O', 0.0]
(23.0, 10.0);['O', 0.0]
(23.0, 12.0);['O', 0.0]
(23.0, 13.0);['O', 0.0]
(23.0, 14.0);['O', 0.0]
(23.0, 15.0);['O', 0.0]
(23.0, 16.0);['O', 0.0]
(23.0, 17.0);['O', 0.0]
(23.0, 18.0);['O', 0.0]
(23.0, 19.0);['O', 0.0]
(23.0, 20.0);['O', 0.0]
(23.0, 21.0);['O', 0.0]
(23.0, 22.0);['O', 0.0]
(23.0, 23.0);['O', 0.0]
(23.0, 24.0);['O', 0.0]
(23.0, 25.0);['O', 0.0]
(23.0, 26.0);['O', 0.0]
(23.0, 27.0);['O', 0.0]
(23.0, 28.0);['O', 0.0]
(23.0, 29.0);['O', 0.0]
(23.0, 30.0);['O', 0.0]
(23.0, 31.0);['O', 0.0]
(23.0, 32.0);['O', 0.0]
(23.0, 33.0);['O', 0.0]
(23.0, 34.0);['O', 0.0]
(23.0, 35.0);['O', 0.0]
(23.0, 36.0);['O', 0.0]
(23.0, 37.0);['O', 0.0]
(23.0, 38.0);['O', 0.0]
(21.0, 38.0);['O', 0.0]
(22.0, 38.0);['O', 0.0]
(20.0, 38.0);['O', 0.0]
(19.0, 38.0);['O', 0.0]
(18.0, 38.0);['O', 0.0]
(17.0, 38.0);['O', 0.0]
(16.0, 38.0);['O', 0.0]
